bun install v1.3.14 (0d9b296a)
   - "js-tokens": "^3.0.0 || ^4.0.0" - js-tokens@4.0.0
   - "functions-have-names": "^1.2.3" - functions-have-names@1.2.3
   - "side-channel-list": "^1.0.1" - side-channel-list@1.0.1
   - "side-channel-map": "^1.0.1" - side-channel-map@1.0.1
   - "side-channel-weakmap": "^1.0.2" - side-channel-weakmap@1.0.2
   - "braces": "^3.0.3" - braces@3.0.3
   - "picomatch": "^2.3.1" - picomatch@2.3.2
   - "fastq": "^1.6.0" - fastq@1.20.1
   - "@nodelib/fs.scandir": "2.1.5" - @nodelib/fs.scandir@2.1.5
   - "@babel/helper-string-parser": "^7.29.7" - @babel/helper-string-parser@7.29.7
   - "@babel/helper-validator-identifier": "^7.29.7" - @babel/helper-validator-identifier@7.29.7
   - "@babel/helper-globals": "^7.29.7" - @babel/helper-globals@7.29.7
   - "jsesc": "^3.0.2" - jsesc@3.1.0
   - "@babel/helper-module-imports": "^7.29.7" - @babel/helper-module-imports@7.29.7
   - "lru-cache": "^5.1.1" - lru-cache@5.1.1
   - "browserslist": "^4.24.0" - browserslist@4.28.7
   - "@babel/compat-data": "^7.29.7" - @babel/compat-data@7.29.7
   - "@babel/helper-validator-option": "^7.29.7" - @babel/helper-validator-option@7.29.7
   - "@emnapi/core": "1.10.0" - @emnapi/core@1.10.0
   - "@emnapi/runtime": "1.10.0" - @emnapi/runtime@1.10.0
Enqueue package manifest for download: possible-typed-array-names
Enqueue package manifest for download: is-symbol
Enqueue package manifest for download: is-date-object
Enqueue package manifest for download: es-abstract-get
Enqueue package manifest for download: is-document.all
Enqueue package manifest for download: isarray
Enqueue package manifest for download: for-each
Enqueue package manifest for download: reflect.getprototypeof
Enqueue package manifest for download: has-bigints
Enqueue package manifest for download: which-boxed-primitive
Enqueue package manifest for download: fill-range
   - "reusify": "^1.0.4" - reusify@1.1.0
   - "run-parallel": "^1.1.9" - run-parallel@1.2.0
   - "yallist": "^3.0.2" - yallist@3.1.1
   - "node-releases": "^2.0.51" - node-releases@2.0.52
Enqueue package manifest for download: electron-to-chromium
Enqueue package manifest for download: update-browserslist-db
   - "@emnapi/wasi-threads": "1.2.1" - @emnapi/wasi-threads@1.2.1
   - "queue-microtask": "^1.2.2" - queue-microtask@1.2.3
Resolving dependencies
> HTTP/1.1 GET https://registry.npmjs.org/next/-/next-16.3.0.tgz
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Accept: */*
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/update-browserslist-db
> If-None-Match: W/"c612a5b8f8d055ee0b9d10cd3fc681fc"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/possible-typed-array-names
> If-None-Match: W/"e9f8b0be5ad101767290db4349b9beac"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-symbol
> If-None-Match: W/"923c14c2c8b84c4ee36f18206b3cd2b7"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/is-date-object
> If-None-Match: W/"707eaaf4bf47286ca443cc36cc7525b4"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/parent-module
> If-None-Match: W/"cb496d24c515ac3b652a57edef624e17"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/argparse
> If-None-Match: W/"0c1fe975ac650cbd4b8c11233c2dccbf"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/balanced-match
> If-None-Match: W/"1ca94649c10a862602d1b8c752a536de"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/p-locate
> If-None-Match: W/"4cc757f54a505390a1501b9d765f2db5"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/resolve-from
> If-None-Match: W/"c2bc8ab205e703ee00434431c5ade60d"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/isexe
> If-None-Match: W/"7943cdaef3da2051f4d5f7d17132befe"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
> HTTP/1.1 GET https://registry.npmjs.org/shebang-regex
> If-None-Match: W/"b6b7c38e6be2aa65dfb2551709c45a5f"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=u.mP4QIsPFcTU4l9ObOlF7o4DaK_EjFZfFEPHS_EUHM-1785947203.9772604-1.0.1.1-3xoTxJaD_OF.O3TjgGn1N9WX11Lu_c0zdRelyMsXGL1tusTMa03j5ZfmfW8jEHKH38E156dE20Kd4mg.7ZQwPvtjnGNGA118CMOw2q13dMoOf6m.iunkGY41t06s16Q7; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=9W.Qc0IjeccGnRCO6_Cguz2DNuByrNp5hWunKJsUCTo-1785947203.9772604-1.0.1.1-UadS_tkJOHc5h7TZ8tVy6DjeXk85mCPTaa2TTc7mAWw; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48db205909-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 29
< Cache-Control: public, max-age=300
< ETag: "cb496d24c515ac3b652a57edef624e17"
< Last-Modified: Mon, 15 Sep 2025 07:20:46 GMT
< Server: cloudflare

> HTTP/1.1 GET https://registry.npmjs.org/which-boxed-primitive
> If-None-Match: W/"283644c330a5d4cc6eb1b4beabe802dc"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=rpYN_lOutu3AQLjLhU1orCQT63KoeYBvMMH5LfK0LUs-1785947203.9791958-1.0.1.1-fMECc2Pe1OF1UYBSSQkgkIbAL98cvxdcyYXVRMbIQ5XVb5YnDktldppmNEUoGhqsiL1PthObI4nDsqHPGqM8bWFFvi0Bfl8SGnGh6fPXG.3SwWpOFuXXVhnaVj..Rp35; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=JgfXvultDJKTn207sb9FBGx1Z3cQiK0q2JVnvMozpWY-1785947203.9791958-1.0.1.1-p3p1zBZIydIuzismqrC07yIlgB1oQqDPAj2h6Xw13KE; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48d8cc322e-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 177
< Cache-Control: public, max-age=300
< ETag: "0c1fe975ac650cbd4b8c11233c2dccbf"
< Last-Modified: Tue, 14 Jul 2026 05:48:03 GMT
< Server: cloudflare

    [1336.25ms]
Downloaded parent-module versions
   - "parent-module": "^1.0.0" - parent-module@1.0.1
Enqueue package manifest for download: callsites
> HTTP/1.1 GET https://registry.npmjs.org/callsites
> If-None-Match: W/"ecfa842134f0ddd5d50cfd6f5565beb4"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
[PackageManager] waiting for 24 tasks
    [1336.64ms]
Downloaded argparse versions
> Accept-Encoding: gzip, deflate, br, zstd
   - "argparse": "^2.0.1" - argparse@2.0.1
< 200 OK
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Content-Type: application/octet-stream
< Content-Length: 41543045
< Connection: keep-alive
< set-cookie: __cf_bm=werbZGr9zQtCJ_9a2UQArwyeR2_Gb6lvOZxAL6_5II4-1785947203.9367826-1.0.1.1-TWuKNq6p5R8ajvbghP03U0Pldt8EvYEuEZhtjMkebTpMI7A3VI3V1x92LuQ_o4iugmeHb6vrhMqPlQiVQ3w2GrX.dv_aX8sdClqPTUE.eLg7I778VVQxAVX_RwazJqBz; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=R_ukMbAgUqmZk0.nU7MU4z5MHWTW2Ad4qPaW8CW3zCo-1785947203.9367826-1.0.1.1-M9hak5SZSe0haNmjQsEK.5KBGfT2wXsKEIeC7IKfoxQ; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a489db7fbfd-CJB
< CF-Cache-Status: HIT
< Accept-Ranges: bytes
< Access-Control-Allow-Origin: *
< Age: 157931
< Cache-Control: public, immutable, max-age=31557600
< ETag: "1d4a172e5a4d0705dc24335af78492e9"
< Last-Modified: Mon, 03 Aug 2026 20:34:32 GMT
< Server: cloudflare

< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:44 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=Dxpi1jcvP6quI5gzl18Ty15aTUuONDhTa7I6QLbFRLs-1785947203.943669-1.0.1.1-Ikgb64xhWi7oCs5rEYjUbWGntww8_zgCYS8phAW4XDUtN9kIaxKSdrFhdlHJVZnZWVydd8sErCikib2h5N6QJgT5KzxT49G0Et5FJAMdBcbEs__O7V_xROL82oXMF7WP; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:44 GMT
< set-cookie: _cfuvid=QSPyuIgr.m9Gv_CpU14WVF_Gvf0L_DbWFmM8hWvS42w-1785947203.943669-1.0.1.1-RmNGn3rfsyUbkWLzpqEqPMhV6G4cAsziTlzHvh9UrRI; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48aa5e5f2a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Cache-Control: public, max-age=300
< ETag: "c612a5b8f8d055ee0b9d10cd3fc681fc"
< Last-Modified: Tue, 16 Dec 2025 15:17:59 GMT
< Server: cloudflare

[PackageManager] waiting for 23 tasks
    [1.53s]
Downloaded update-browserslist-db versions
   - "update-browserslist-db": "^1.2.3" - update-browserslist-db@1.2.3
Enqueue package manifest for download: escalade
> HTTP/1.1 GET https://registry.npmjs.org/escalade
> If-None-Match: W/"d824ed468921f5f20426a9d46b2928ec"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=aDachGCU2jaLUmO0HD_BOgbxbDYX36n0nvJ3K1nchrI-1785947203.9439986-1.0.1.1-bJeu8M.MZUSxDvyHP7fhYZbd7jyjSrTxReJcRd8CHFXl1MZlO9RJSHk.pgP1OhfCpuxkwLgBXmRo5a._zhMOpi9dmcbqgrr6IMCJ4bCVk_0.i2r0oD9mFsGo2EKWiEB6; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=qDcAB5MHvKlEXEurofX6otqkF8a7s8damovSVy9AjDY-1785947203.9439986-1.0.1.1-8p30ter2QgjlFd192L8FxxnMW0koAuS5mBUfB4YljKQ; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48afb7936c-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 297
< Cache-Control: public, max-age=300
< ETag: "923c14c2c8b84c4ee36f18206b3cd2b7"
< Last-Modified: Fri, 13 Dec 2024 07:37:43 GMT
< Server: cloudflare

[PackageManager] waiting for 23 tasks
    [1.54s]
Downloaded is-symbol versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=RvxqVdJtjn3fb13G.foUjfC3edjWZZ1dyO408BQxjuA-1785947203.9441173-1.0.1.1-LgGTrvIiPxd2XxY.QV3Z.UHUV7lz49A8F9DvPR_jHMlVtDjq6nU970sj6TmXSFIPi0K1hfaNhDeq0Xir0YGio7IU1vZQ5pJX1Njn6tS5.5Y19fuT81w6BxlufvUDUu0P; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=Y5Jw7_EjQK1UI353pbieGEtYcbmdJn2eP99XXyGIpOM-1785947203.9441173-1.0.1.1-Yqf0b1nLZCxrJq_3biCkbfVFGVE9E40l5OBbAA5UOa4; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48abf59215-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 236
< Cache-Control: public, max-age=300
< ETag: "e9f8b0be5ad101767290db4349b9beac"
< Last-Modified: Fri, 07 Feb 2025 05:04:16 GMT
< Server: cloudflare

< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=NZr8mX0j3iVfVke4oOWJRCdbq6dDAyz0tIqYdo_jqjc-1785947203.948952-1.0.1.1-N1XVA_cjscRI4FLQNMZhQQEUwnJ_9QlpV9aUicE2cNCA50vGXmeei7Eqbak5q761CLgXNZ6sN6JC76VxWqJ6gRb5rcF21fQLN3OrsJOMffSCadgX4Rfhbsb0uuJfBfY5; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=aQeQQUomSbx.H3a8cI4hfh6rFZJ2jI0OoZRIl9kgwFg-1785947203.948952-1.0.1.1-LvEqAS2guK0MkZeqwqB1mr5TfCAn32s2XTDFqmy_OBg; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48afdd936c-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 63
< Cache-Control: public, max-age=300
< ETag: "707eaaf4bf47286ca443cc36cc7525b4"
< Last-Modified: Fri, 13 Dec 2024 00:04:09 GMT
< Server: cloudflare

   - "is-symbol": "^1.1.1" - is-symbol@1.1.1
[PackageManager] waiting for 22 tasks
    [1.54s]
Downloaded possible-typed-array-names versions
   - "possible-typed-array-names": "^1.0.0" - possible-typed-array-names@1.1.0
    [1.54s]
Downloaded is-date-object versions
   - "is-date-object": "^1.1.0" - is-date-object@1.1.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=NaISsFaKOac0QZq0gnYNeuBN02DD_8L.pLJvf0db3pA-1785947203.9864202-1.0.1.1-Bt_Rc3aME8affh9YWi8WOaJaHTdqrurp_O0xzh1V4ZK1jFZSW3dBSR17JaGFLGNgHun13z1joNj09O81m6y9Q7s742dMo3JXtsrXVebT.yAouph14dWdfvyIs.gk5.P8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=zZeiVBGp87s6MSEdhmuN2rJbsTcaECg6e087w_78NN4-1785947203.9864202-1.0.1.1-PT55RZDAQn8LfLxG3sTjYYwuftMua550Sf.uNyqCH9g; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48eaef8c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 61
< Cache-Control: public, max-age=300
< ETag: "1ca94649c10a862602d1b8c752a536de"
< Last-Modified: Sun, 22 Feb 2026 11:38:27 GMT
< Server: cloudflare

[PackageManager] waiting for 20 tasks
    [1.61s]
Downloaded balanced-match versions
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:44 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=YaUKWoqadrC_kzen_gs35XA_adZ.NNw0.V3eMOjTsA0-1785947203.996304-1.0.1.1-o_eUMOQ6FHuloqBpgA65PNYqrC1oekVnJFkMYsaH_p22oNMzwFGlpoHFxO3X50pBvfX9KwbpwyZYLSc8DzloEQXmZ9yK_0dB0J4FCIp_YdlqsAnhgPu4y0OJQiyk7oBc; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:44 GMT
< set-cookie: _cfuvid=FoXtYkoU5AdM_Pf90IpNGlJkxVBkrB0AJ8LGJN46pms-1785947203.996304-1.0.1.1-Zh00M7wm4Yzqilbyu4VyEtZlFKHE72zPcxqLgXZAxo8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48fe6a384f-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 107
< Cache-Control: public, max-age=300
< ETag: "b6b7c38e6be2aa65dfb2551709c45a5f"
< Last-Modified: Fri, 16 Jun 2023 22:41:01 GMT
< Server: cloudflare

   - "balanced-match": "^1.0.0" - balanced-match@1.0.2
   - "balanced-match": "^4.0.2" - balanced-match@4.0.4
[PackageManager] waiting for 19 tasks
    [1.61s]
Downloaded shebang-regex versions
   - "shebang-regex": "^3.0.0" - shebang-regex@3.0.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=EwMJAaVDKVzyGRZSdC8GCLxjdoM07ZjQ0U_3tA1ZKH0-1785947203.9894223-1.0.1.1-Zyx0VwWkYtBN3WEE2JLWU.ZU8iBbIJKO4qPnldW0_F2j3XTrLgZc9SMn_rg0l3KMgTdDfC8oVKWYKzVa7ZNmdR9KwMYZ8BxJJHnSfadlHKhK4Mm81uUlOJnazhFapqdX; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=1j7lPki_BtsTFkigY5Sv3GTFUW4ggkcdV0_HnOyWcj8-1785947203.9894223-1.0.1.1-EoAdNoK9TUk9GpF2ORjykPGjo8B7bS_eQc1yVg2Se8w; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48eb078c9a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 64
< Cache-Control: public, max-age=300
< ETag: "c2bc8ab205e703ee00434431c5ade60d"
< Last-Modified: Thu, 22 Jun 2023 16:33:47 GMT
< Server: cloudflare

[PackageManager] waiting for 18 tasks
    [1.61s]
Downloaded resolve-from versions
   - "resolve-from": "^4.0.0" - resolve-from@4.0.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:43 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=n5FOkbPGdvny8aeqQ9ylhHPb3eUdOXTPKt_Y1XVur6o-1785947203.9868577-1.0.1.1-pFod81lO2GC9bXn_4P0pbZ.v0cQZ2oqT8RjG4Vg9ESmMEdhih5CBpAJiB5zu..aR9REgwqAxmS7fD2Y5Eh.dSsOqtkekwRN4f6q0zqI3kQlf026VPbx5PoT9vWefkq1J; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:43 GMT
< set-cookie: _cfuvid=YaakRcnhGlC12azXmtVemiKA4VPfPbOEl7Xj_.JC3DI-1785947203.9868577-1.0.1.1-R0j67.QgzV3EwB4G9e18P9q9pkdGL7YNNRULhoZE2ag; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48ed84498d-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 42
< Cache-Control: public, max-age=300
< ETag: "4cc757f54a505390a1501b9d765f2db5"
< Last-Modified: Tue, 03 Feb 2026 07:57:51 GMT
< Server: cloudflare

[PackageManager] waiting for 17 tasks
    [1.61s]
Downloaded p-locate versions
   - "p-locate": "^5.0.0" - p-locate@5.0.0
Enqueue package manifest for download: p-limit
> HTTP/1.1 GET https://registry.npmjs.org/p-limit
> If-None-Match: W/"d79a628d98e31979ebb8e2e6ac551a49"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:44 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=OeaWa61j3DOuOlYr7ocK8xfpUN1UEI6DFB26spfCXN8-1785947203.9964566-1.0.1.1-VUAJ3YBxfQbJ67aFfEN.sgioGV2VwvXPFjGi2s2Z3le1VejFduhnIFiB4qdjV7SigHZj10kViip9Pe.tjedX3xW.eFJrQ6.gWi_ujTKR19ZwjEZpMR2XlmrRInUxtFU3; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:44 GMT
< set-cookie: _cfuvid=w61oY2okoV82iAkWioEPYEi_OFY6KcIEN8Qir.k_h9s-1785947203.9964566-1.0.1.1-576SdInbK8mC1Fo4UV_I7Bmzrnjh7JRqj24FcRIeBmk; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a48fde649be-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 121
< Cache-Control: public, max-age=300
< ETag: "7943cdaef3da2051f4d5f7d17132befe"
< Last-Modified: Mon, 09 Feb 2026 16:28:04 GMT
< Server: cloudflare

[PackageManager] waiting for 17 tasks
    [1.61s]
Downloaded isexe versions
   - "isexe": "^2.0.0" - isexe@2.0.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=Bu16EhE6f9lL8yoJB4mhFE2lsw7rurKvAbMJdAmNjD4-1785947207.5964673-1.0.1.1-PNGdIPHJdHaJ.TOvXoMAFE2FFAksbJmso_VDnB3MWqwqnv.Z8Wj_PMX.ebx29v0YP_jhwswNBCscItliFsL6h3zjWOT.TLwi9Y6g7MPK5sbw1QbhVlk.mfX52MTgAgZx; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=34bFXg040HO9VyuYdJl8d9h1sn1CPh4FwAQmF1.eOu8-1785947207.5964673-1.0.1.1-CRPRg7QODO4aYTfC2G8T9kcAW2CLNEyl7P4JU.VQdWU; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a5f7a8a5909-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 161
< Cache-Control: public, max-age=300
< ETag: "ecfa842134f0ddd5d50cfd6f5565beb4"
< Last-Modified: Sat, 29 Jun 2024 13:46:26 GMT
< Server: cloudflare

[PackageManager] waiting for 16 tasks
    [3.62s]
Downloaded callsites versions
   - "callsites": "^3.0.0" - callsites@3.1.0
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=cqzCGV0_j_Z_JWmzVHOk9jIe3Nj5xQUJSxJHDUCDJ64-1785947207.603939-1.0.1.1-Eg0n3_ZrIN1xo1kDQa6AksBYZyxoZaeVLB5t3.wkb6HrB036Bz7C52Zt4ckaXQWtUdZUgMbd8AUBFZn7B3NvdkP8nRKMqxaHypbCvckD12RzdfSi_ADppQx_OYJgP8qU; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=acgpAFMFO.szds_CzSPxqEOXUHsN6mkh98KfDS5jGBQ-1785947207.603939-1.0.1.1-X1yQzL2APHl2zwU9TstTNg6lN0IJE27X2fsg1fEg6A0; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a5f88a45f2a-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
< Age: 109
< Cache-Control: public, max-age=300
< ETag: "d824ed468921f5f20426a9d46b2928ec"
< Last-Modified: Thu, 29 Aug 2024 22:59:38 GMT
< Server: cloudflare

[PackageManager] waiting for 15 tasks
    [3.45s]
Downloaded escalade versions
   - "escalade": "^3.2.0" - escalade@3.2.0
> HTTP/1.1 GET https://registry.npmjs.org/typed-array-length
> If-None-Match: W/"56d9ebdcee80e8a6742bfddc794ac7a6"
> Accept: application/vnd.npm.install-v1+json; q=1.0, application/json; q=0.8, */*
> Connection: keep-alive
> User-Agent: Bun/1.3.14
> Host: registry.npmjs.org
> Accept-Encoding: gzip, deflate, br, zstd
< 304 Not Modified
< Date: Wed, 05 Aug 2026 16:26:47 GMT
< Connection: keep-alive
< set-cookie: __cf_bm=MOEbV4ml1Q8bxNFnqYVsVMOZdNb3ZwFaRZYM246RLIU-1785947207.7122452-1.0.1.1-0vp2JJXQW9X5lqneDCObM0L2mCYeniW_CQ4fppelQwjKdU_mUF6YqAWAzevgv0wQXIzwKY8XoTejqd6Xm5kDDqvLuALFeyjCLHMZJlja3UFrc94KbGjiwu_87pvBFuCD; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org; Expires=Wed, 05 Aug 2026 16:56:47 GMT
< set-cookie: _cfuvid=N5Qkh11qJTfeTETM3c.f_2_ZKK70L7dSeJEOhjIkriY-1785947207.7122452-1.0.1.1-cbTtgjcMjGd9.hQLQmuQNaDIsFuhMKJTGG5FzvtP1C8; HttpOnly; SameSite=None; Secure; Path=/; Domain=npmjs.org
< CF-Ray: a2672a6039cad5da-CJB
< CF-Cache-Status: HIT
< Access-Control-Allow-Origin: *
